OriginalTweet,Attitude,Emotion,Link
"b""@FLbeachrealtor @johnpilger NATO doesn't want Ukraine because US and Europe would be brought in direct conflict with Russia. The video shows a US journalist with a track record of reporting in favour of Russia, embedded on the Russian side, interviewing Russian separatists,which in my view is problematic.""",0,0,#VALUE!
b'@kfc Financing the Russian market means supporting the war crimes of the Russian fascists in Ukraine. All those who cooperate with terrorists will be responsible for the deaths of innocent Ukrainians. Stop business in russia!',1,1,#VALUE!
"b'These men may be ""heroes"" in Russia, but they represent a military that preys on weaker opponents, commits war crimes, and fights unjust wars on innocent people. Vile scum and killers. @Russia\n\nThe heavy losses of an elite Russian regiment in Ukraine\nhttps://t.co/SbOQfn1RDK'",0,0,https://t.co/SbOQfn1RDK
b'@RussianEmbassy @mfa_russia @RusembUkraine @RusEmbUSA @RusMission_EU @BBCWorld @SkyNews @ftworldnews @guardianworld @TelegraphWorld @spectator West didn\'t have to work at it.\nThere was no threat from Ukraine or any of the other ex-Soviet states until Putin\'s invasion. \nNeo-Nazi describes "I\'m going to elect myself" Putin exactly.',1,0,#VALUE!
b'#NGO = #DARKNESS! #RUSSIA/#PUTIN is fighting it! West is corrupt. End Globalization. \n\n#WakeUp #Evil #NATO #US #EUROPE #Z #V #O #UKRAINE #BIOLABS #HATE #LOVE',0,0,#VALUE!
"b'@GrayConnolly USSR collapsed due to corruption and incompetence in 89-91.   Everything russia has done in Ukraine can be explained by corruption &amp; incompetence, its simple really, not Putin playing 4D chess.  Your over thinking this in a western mindset.  Think of Russia as being Trump'",1,0,#VALUE!
b'@ImJohnEli There are no winners here. Russia will be the loser if Ukraine is able to maintain its territorial integrity. The world will also be the winner in that instance.',0,0,#VALUE!
b'@DrChrisParry All future gas/money paid to Russia will only pay for Ukraine reparation.',0,0,#VALUE!
b"@armscontrol_rus @EUinRussia @eurouacom @RussiaUN @RussianEmbassy @Rusembchina @torgpredstvo @balkanist2019 @BelarusMID @srbijainfo @AmbasadaRusije To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.",1,1,#VALUE!
"b'@EmineErdogan #BJP is creating war between #muslims &amp; #Hindu our country #India by spreading #islamophobiainindia like war between #Ukraine and #Russia . #Karauli ,#Mariupol ,#chechenos ,#HalalPeHungama ,#Halal ,#BajrangDal ,#Chechnya ,#Chechen ,#Turkey . Stop future #Muslimgenocide in #India'",1,0,#VALUE!
b'@PerAhlberg1 @RonOBrien17 @christogrozev I agree from a moral perspective. But I unfortunately don\xe2\x80\x99t see which juridiction can force Russia to pay reparations to Ukraine. France did to Germany in 1871 after the 1871 peace treaty. The other way around in 1918 and 1945. Nobody went to any tribunals for the reparations',1,0,#VALUE!
b"extremely poor planning on ian's part to try and crowdfund a book written by an azov guy before russia declared war on ukraine and people stopped caring about them being nazis",1,0,#VALUE!
"b""@wride_nicholas @STWuk 800 + military bases around the world. The USA would definitively get a base or more in Ukraine if Ukraine joined NATO, despite it's pivot to China. Russia seems to have just a handful of bases outside Russia. The US Federal Reserve prints all the money the US needs.""",0,0,#VALUE!
"b'@tripplexdm @Casey @ptuxerman Stepan Bandera, I know he is a hero for some Ukrainians , but being in SS and kill many from Ukraine, Russia and Belorussian. And many of his followers burn so many villages in \xf0\x9f\x87\xa7\xf0\x9f\x87\xbe'",0,0,#VALUE!
"b""Since Russia started a war in Ukraine, I've been immediately on full alert when the (common-ish) siren for volunteer firefighters goes off. It's a different tone pattern to the general danger siren, but you only know the pattern for sure after listening for more than 15 seconds\xe2\x80\xa6""",1,0,#VALUE!
b"@armscontrol_rus @RusEmbUSA @Sadigbayli @mfa_russia @mission_rf @mission_russian @lesiavasylenko @aavst20551 @l2989999 @ambrusburundi To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.",1,1,#VALUE!
b'via @NYTimes\nGlory to Ukraine  https://t.co/HjPZFO28yV',1,1,https://t.co/HjPZFO28yV
b'\xf0\x9f\x87\xb7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xbe Battle-hardened Syrian volunteers have started arriving in Russia to assist the forces of the Russian Federation in its special military operation in Ukraine.\n\n\xf0\x9f\xaa\x96 #UkraineRussianWar',0,0,#VALUE!
b"@armscontrol_rus @osce_ru @RF_OSCE @ambrusburundi @LV_RUSEMBAS @Russian_Emb_MKD @russembkenya @RussianEmbassyR @CG_Russia_Brno @rusemb_tm @rianru To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.",1,1,#VALUE!
b'Russia vows to target British-made weapons https://t.co/zeqp9RJi4H via @MailOnline',0,0,https://t.co/zeqp9RJi4H via @MailOnline
"b'@kfc Murders, robberies, violence are all that russia is doing in Ukraine today. By cooperating with russia, you become a participant of all these crimes. Do not cooperate with Russia!'",1,1,#VALUE!
b'@IAPonomarenko The fact that Ukraine has not taken responsibility for the attack inside Russia is driving Putin nuts. Was it Ukraine? Was it an accident? Was it his own soldiers sabotaging a war they did not sign up for?',0,1,#VALUE!
"b'@McConnellMG808 @DarkaHirna @AVindman More dead soldiers from RF will not help. Ukraine needs better weapons so that Russia will withdraw completely and not attack again, anywhere in Ukraine.'",0,0,#VALUE!
"b'@IAPonomarenko If any Western countries try to sweep this war (crime) against Ukraine under the carpet and try to go back to business as usual with Russia. Then everyone needs to hold these politicians, these greedy corporations accountable as if they are as guilty as Putin. No more is this OK.'",1,0,#VALUE!
b'#Enerhodar #Ukraine now. #Russia #RussianArmedForces are shooting civil people - that declare that they are still against #RussiaInvadedUkraine. #RussiaWarCrimes. #PutinWarCrimes https://t.co/BZHu3O9mDj',1,0,https://t.co/BZHu3O9mDj
b'Biden warns China about supporting Russia amid war in\xc2\xa0Ukraine https://t.co/tkVSHSXziO',1,0,https://t.co/tkVSHSXziO
"b'@RussiaUN @mod_russia @mfa_russia @RusEmbUSA @RussianEmbassy @AmbRusFrance @UNCANews @vrobecco @PamelaFalk @baysontheroad @kambizf @pass_blue Send this postcard from Ukraine to your fuking boss, please. https://t.co/vSEcXC6CPC'",0,1,https://t.co/vSEcXC6CPC
b"@Krzyszt82966282 @damselpoison @GMimi62 @FransGotThis @olya_rudenko @NATO NATO and Russia fighting each other directly to protect Ukraine sovereignty. We're all going to die in a nuclear war so Ukraine can be free to be a puppet of the USA?",0,1,#VALUE!
"b'The seasons are changing, Spring is here. It\'s time for seasonal flus, colds and allergies. Lets not let our gov\'t, and media, instigate more Covid hysteria; more mandates, Vaxx promoting,  etc. ... let""s not be fools! #COVID19 #BidenCrimeFamilly #Fauci #Ukraine #Russia https://t.co/of9Pn7NcqK'",0,1,https://t.co/of9Pn7NcqK
b'@kfc Your cooperation with the Russian market is your attitude to the war in Ukraine. You are sponsoring the war and the killing of Ukrainians while staying in the Russian market. Stop your business in Russia!',1,1,#VALUE!
"b""me:  []\n11yo:  is that good or bad?\nme:  [potted history of far left politics, USSR, russia, ukraine, Corbyn]\n11yo:  I'll have the Chicken Legend again.  Don't forget the ketchup.""",0,0,#VALUE!
"b'@arthuromeo @RALee85 Yes completely aware. But sadly that only counts for so much. Listen, i hope Ukraine kicks russia completely out of the whole of Ukraine but its much easier to defend then go an the attack even with numbers.'",1,1,#VALUE!
"b'FILE PHOTO: A Ukrainian soldier hides from a helicopter airstrike amid Russia\'s invasion of Ukraine, near Demydiv, Ukraine March 10, 2022.  REUTERS/Maksim Levin/File Photo SEARCH ""MAKSIM LEVIN"" FOR ALL IMAGES. https://t.co/sKfp9vYUrz'",1,0,https://t.co/sKfp9vYUrz
b"@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Maybe you should stop murdering Ukrainians so they don't need these weapons?",1,1,#VALUE!
b'Right now Putin is committing genocide in Ukraine! Russian military forces bomb cities and murder civilians! Please send military and humanitarian aid to #Ukraine! Introduce the most severe sanctions against #Russia! We must stop Putin together and prevent his further war crimes',1,1,#VALUE!
"b'Russian Forces Kill Over 100 Nationalists, Mercenaries in High Precision #Iskander Strike Against Defence HQ in #Kharkov \n\nA missile strike destroyed the Ukrainian defense Headquater in Kharkov, eliminating Ukrainian Nationalists &amp; Western #Mercenaries\n\n#Video #Russia #Ukraine https://t.co/DXZBDG2CMH'",1,1,https://t.co/DXZBDG2CMH
"b'@jabroni619 @MarshaBlackburn And, just so you know, I suspected that the info on Hunter was at least partially true. After all, he was involved in Russia and Ukraine and at the time this would have happened, Ukraine had a Putin puppet in the Presidency. And since Hunter had addiction issues&gt;7'",0,1,#VALUE!
"b'@SenHydeSmith @JakeSullivan46 Dear Cindy, thank you so much!! Indeed, as a priority \xf0\x9f\x87\xba\xf0\x9f\x87\xa6still needs fighter jets &amp; long-range SAMs! Please promote &amp; push this agenda on the US level. Ukraine is making great progress in the war and can defeat russia, just help us a bit with the heavy arms like jets and SAMs...\xf0\x9f\x98\xa5'",1,1,#VALUE!
"b""Russia's talks with Ukraine have not been easy, but the main thing is that they are continuing, RIA news agency quoted Kremlin spokesman Dmitry Peskov as saying on Saturday. https://t.co/emOwkcI0UA""",0,0,https://t.co/emOwkcI0UA
b"@armscontrol_rus @MID_RF @MIDArkh @smdmid @mid_yakutsk @MID_Orenburg @MIDKrasnoyarsk @MID_SAMARA @MID_Izhevsk @MID_Kamchatka @mid_alania To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.",1,1,#VALUE!
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus If I had as much as a kitchen knife that I thought would\xe2\x80\x99ve helped Ukraine get rid of Russian cancer..!',1,1,#VALUE!
"b'@mfa_russia @RusEmbUSA @RussianEmbassy @RusEmbIndia @EmbassyofRussia @mission_russian @RusBotschaft @rusembassynl @Dpol_un @Amb_Ulyanov @A__Alimov While Russia wants to kill our present future, kill humanity, you have to think, it hurts every day to know how many people have died today, that is not the way, God forgive them, I do not support Ukraine or Russia, they only bring death: c'",0,0,#VALUE!
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Your account is just a pathetic parody.',0,1,#VALUE!
b'Xijinping is more "successful\' than Putin\nBecause China killed 1.2 million Tibetans and is occupying Tibet without sanctions and now Putin is wondering why Russia can not do the same with the people of Ukraine.\nCHINA SANCTIONS NOW\xe2\x80\xbc\xef\xb8\x8f\xf0\x9f\x91\x81\xef\xb8\x8f https://t.co/qRQhPW1NmB',0,1,https://t.co/qRQhPW1NmB
"b'Russian forces retreat from Kyiv region, Ukrainian military says  https://t.co/Zn4titowgd'",0,0,https://t.co/Zn4titowgd
b'Ex-ICC prosecutor urges global arrest warrant for Putin https://t.co/1B3LSI6h4X',1,0,https://t.co/1B3LSI6h4X
b'Russia\xe2\x80\x99s forces are killing the civilian population in Ukraine with weapons made of foreign components. That is why it is absolutely crucial to cease any business relations with Russia. #StandwithUkraine #StopRussia https://t.co/dqrAU1ye6G',1,0,https://t.co/dqrAU1ye6G
"b'No one cares, let the pain continue. \nNow add some long range missile to drop on there heads would be nice.\n\nStunning images inside Russian grocery store show dire situation\n\nhttps://t.co/YAGFJUuIrJ'",0,0,https://t.co/YAGFJUuIrJ
b'@ZelenskyyUa @EmmanuelMacron "...talks with \xf0\x9f\x87\xab\xf0\x9f\x87\xb7 President @EmmanuelMacron... humanitarian corridors from Mariupol..implemented!"- @ZelenskyyUa\n\nLet Mariupol be a France-Russia litmus test.\nFrance is still open for business in Russia.\nWhat Ukraine related concession has Mr. Putin given?\nhttps://t.co/3Kw3SL9tF2',1,1,https://t.co/3Kw3SL9tF2
b'#Lithuania ceasing all Russian #gas imports for domestic needs https://t.co/tPiAgRBX3X #Putinswar #Ukraine #Russia',0,0,https://t.co/tPiAgRBX3X #Putinswar #Ukraine #Russia
"b""#MaksimLevin, a #photographer and videographer who was working for a #Ukrainian news website and was a long-time contributor to Reuters, was killed while covering #Russia's invasion of Ukraine. He leaves behind his wife and four children.\nhttps://t.co/pbAZRNScqH""",1,0,https://t.co/pbAZRNScqH
"b'@ksenia755 @TheToriesOut @lesiavasylenko @NATO Man you really are stupid, after this explanation im muting you, I dont have time for imbeciles. Russia is outnumbered in this conflict because they only brought 190k troops to Ukraine vs Ukraines 600k numbered forces. Do you UNDERSTAND now Karen?'",0,1,#VALUE!
"b""1400 Ukrainian civilians being moved to Russia by the Russian occupiers is something ominuous to the press; a dark deed by Russia!\n\nBluntly, again it's like people writing it would have no idea how military occupiers behave - or, again, expect that Ukraine should be an exception.""",1,1,#VALUE!
b'@mfa_russia @TokayevKZ @Rfembkazakhstan @KremlinRussia_E @MFA_KZ @Kazakhstan @AkordaPress @primeministerkz @KazBrussels @KazEmbassyIndia @kazembassyEst Wow! Must be a huge deal! Now the peace talks over since Ukraine finally boomed Russia! Next I hope they hit Putin in the face! #PutinIsaWarCriminal',1,1,#VALUE!
"b""Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most lethal disastrous war is taking place in #Tigray, where food has been weaponized for more than 17 months. #EndTigraySiege @vickyford @SenatorRounds""",1,0,#VALUE!
b'@StalinismUSA @SameeraKhan @AOC @krystalball Why? Anarchism is about degrees not absolutes. Only statists and fascists think in degrees of absolutes. I want Ukraine to be an independent and unmolested state---it is certainly better than it being an imperial domain of Russia.',1,0,#VALUE!
b'@rkapuaala @IAPonomarenko @MaxBoot aside from few big cities russia is a black hole and it wants to drug Ukraine into it https://t.co/wepf2WDBUD',0,0,https://t.co/wepf2WDBUD
b'Red Cross prepares for another attempt to rescue civilians from Mariupol as Russia shifts Ukraine\xc2\xa0focus https://t.co/yVfVvrdnuj',0,0,https://t.co/yVfVvrdnuj
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Lol only Russia would cry that a country is resisting in a war they started ! Just remember.. they go both ways ! https://t.co/8UDfH9wO9K',1,0,https://t.co/8UDfH9wO9K
b'For your Special Playlist - timeless positive music - \n"After Tomorrow"\n\n#music #Spotify #weekend #goodmorning #Peace @Spotify  #Ukraine #Russia #inspiration #future  #USA\n\nhttps://t.co/CaoXEZl1tl',0,0,https://t.co/CaoXEZl1tl
"b'\xf0\x9f\x87\xb7\xf0\x9f\x87\xbaRussia \xf0\x9f\x87\xba\xf0\x9f\x87\xa6Ukraine Conflict, 24Feb-02Apr\n\nRussian prisoners of war - \xe2\x80\x9ca free trip to hell\xe2\x80\x9d \xf0\x9f\x91\x87@LetUsUniteHere https://t.co/gH4mrpx40l'",0,0,https://t.co/gH4mrpx40l
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Fake news.',0,1,#VALUE!
"b""@RALee85 I don't understand  why they have not done before...fire missiles in Ukraine, why not fire missiles at Russia, give the some of there own medicine... Kremlin would be a good target! See if they learn the lesson.""",1,1,#VALUE!
b'@Howard_the_Buck @TicTocTick The peace story\xe2\x80\x99s are all fluff. Russias regrouping to fortify and hold the Donbas region + crimea.  Ukraine\xe2\x80\x99s done an amazing job blunting the Russian offensive.  It\xe2\x80\x99s an entirely other thing to have to go on the offensive and kick Russia out of those regions',1,0,#VALUE!
b'@DailyMailCeleb She is traumatized because Will slapped Chris and not because Russia is attacking Ukraine. Some people are just very stupid.',1,0,#VALUE!
b'#DmitryPeskov said that #Russia is ready to provide #Belarus with "absolute support" in the event of an attack on the republic. \n\n#Ukraine \n#UkraineRussiaWar \xf0\x9f\x87\xba\xf0\x9f\x87\xa6 \xf0\x9f\xaa\x96 \xf0\x9f\x87\xb7\xf0\x9f\x87\xba https://t.co/9TnJg5Yw3d',0,0,https://t.co/9TnJg5Yw3d
b'\xe2\x9a\xa1\xef\xb8\x8fMore War Crimes\nFollow my lists:\nRUSSIA &amp; UKRAINE One list since reporters &amp; others overlap https://t.co/W6orwnBWv3\nDEFENSE https://t.co/o0rpSL9G1i\nREFUGEES https://t.co/gkj6a0LZKj\nTHE HAGUE https://t.co/1LcxWzSd2R\nDC https://t.co/0urknX6mu0\nALL LISTS https://t.co/iYIHGMFG7f https://t.co/gHsgovlBkq',0,0,https://t.co/W6orwnBWv3\nDEFENSE https://t.co/o0rpSL9G1i\nREFUGEES https://t.co/gkj6a0LZKj\nTHE HAGUE https://t.co/1LcxWzSd2R\nDC https://t.co/0urknX6mu0\nALL LISTS https://t.co/iYIHGMFG7f https://t.co/gHsgovlBkq
"b'""Seeking full energy independence from Russian #gas, in response to #Russia\'s energy blackmail in #Europe and the war in #Ukraine, #Lithuania has completely abandoned Russian gas"" writes @MinEnergyLT. \n\nRead more: https://t.co/z8849CcZB3 https://t.co/lr6cNPbw8R'",1,0,https://t.co/z8849CcZB3 https://t.co/lr6cNPbw8R
b'@VolodymyrSt77 @bfry1981 @RALee85 Russia has lost under 1K soldiers. What an idiotic meme. Ukraine has lost nearly 20K yes.',0,0,#VALUE!
"b'Ongoing negotiations between Russia and Ukraine to end the ongoing war between the two nations is likely to dominate this week\xe2\x80\x99s Sunday show circuit. This week, Russian and Ukrainian negotiat\xe2\x80\xa6... https://t.co/07wOpXtrYk'",0,0,https://t.co/07wOpXtrYk
"b'Hanna Maliar, Ukraine\'s deputy defense minister, said Saturday that the Kyiv region had been ""liberated"" from Russian forces.\n\nShe said in a post on Facebook that Bucha, Irpin, Hostomel and ""the whole Kyiv region was liberated from the invader.""https://t.co/P1NbRGLfT4'",1,0,https://t.co/P1NbRGLfT4
"b'@AhmedBaba_ I hope everyone is taking a long look at Russia and Ukraine. If we let the fascists take over, will we fight as hard as the Ukranian people to protect our Democracy? God I hope so. #VoteBlueToSaveDemocracy \xf0\x9f\x92\x99\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a'",1,1,#VALUE!
b'@mywaters2 @newsmax Russia has opposition media?\n\nUkraine banned opposition media because democracy.',0,1,#VALUE!
"b""@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Yes they are selling them bows and arrows \xf0\x9f\x8f\xb9\xf0\x9f\x8f\xb9\xf0\x9f\x8f\xb9.\nThey will be leaked to none. Don't worry. You should worry more about the weapons your army is leaving behind as they run to hide as civilians.\nRussia, go to the cashier. The game is over. Take your earnings and stop.""",1,1,#VALUE!
"b'@IAPonomarenko The world is crying, the Russia is mentally ill, Ukraine is wounded in his flesh.'",1,0,#VALUE!
"b'@UAWeapons RSVP, special delivery for Vlad P.\n\n#PutinIsaWarCriminal #ukraine #russia #putin'",1,0,#VALUE!
b'Russia-Ukraine war latest: Ukrainian troops retake entire Kyiv region as evidence emerges of execution of civilians \xe2\x80\x93 live https://t.co/kNgdKWTyDh',0,0,https://t.co/kNgdKWTyDh
b'@xohaibshahzad @warwounded__ Exactly. NATO is pushing russia against the wall with ukraine having western influenced govt. Why not question  the reason western allies are at the doorsteps of Russia? And the point is not about standing with russia but to have an independed foreign policy.',0,0,#VALUE!
b"War in Ukraine Hasn't Loosened Putin's Grip on Power - TIME https://t.co/FvBC0AUoXb",0,0,https://t.co/FvBC0AUoXb
"b""Good news in that #Ukraine may be holding, even pushing back, Russian forces out of Ukraine.\n\nBad news, it's still Ukraine.\n\nBefore it was given a huge image makeover by being Russia's victim, Ukraine was Europe's poorest, perhaps most corrupt nation. See Hunter Biden emails.""",1,0,#VALUE!
b'Peace negotiations advanced enough to allow direct meeting between Putin and Zelenskyy: Interfax https://t.co/oAutkYTIs1',0,0,https://t.co/oAutkYTIs1
b'It breaks my heart to see these photos and feeling powerlessnesses whilst those who have power think\n\nthat we still need to wait for Russia to resort to chemical weapons to merit tougher sanctions and better military support for Ukraine. \n\nAre you serious? \n\n #nato \n #CloseTheSky https://t.co/z73reP8EZ4',1,1,https://t.co/z73reP8EZ4
b'@of_kyiv @DrallHiren @TaraTracey4 @mfa_russia @IndianDiplomacy @MEAIndia @AmbRus_India @RusEmbIndia @IndiaUNNewYork @ibtimes_india @indiandiplomats @IFAJournal @RusEmbUSA @IndEmbMoscow U just stick onto one sided campaign \nIt will be better for u\nBut India remains abstained until and unless there is a dialogue talks between Russia and Ukraine so that there is a hope that war stops',0,0,#VALUE!
"b'Ukraine should drop its NATO bid and establish itself as a security bufffer zone between NATO and Russia to seek its National Interest. Note: \xe2\x80\x9cIn this life, no one seek your interest more than you will. Play along, but never allow yourself to used\xe2\x80\x9d. I hope they get the clue.'",0,0,#VALUE!
b'Is it possible that the only way to stop #Russia in #Ukraine is by only #WWIII?',1,0,#VALUE!
"b""@Valleyziro @ivab10 @APatricius @BNONews India made its decisions about tieying with Russia long time ago. You also have military pacts with Japan. That's why there's not a chance of getting support from west now... Especially now, since India is clearly supporting the war in Ukraine..""",0,0,#VALUE!
"b'Chief Negotiator for Ukraine David Arakhamia:\n\nThe draft peace agreement between Russia and Ukraine is now advanced enough to allow talks between Putin and Zelensky.\n\n\xe2\x9e\x96 Russia accepted our offers, except for the Crimea issue. https://t.co/DS7NxKyYBI https://t.co/YtHM41qKQi'",1,0,https://t.co/DS7NxKyYBI https://t.co/YtHM41qKQi
"b'We must continue supporting the Ukrainian People.\n\nRussia\xe2\x80\x99s war against Ukraine: Day 38, April 2, \xe2\x80\x93 Update No. 2 https://t.co/wBXQXYHpsp'",1,1,https://t.co/wBXQXYHpsp
b'Destroyed #Russian armoured cumn near #Chernigiv\xf0\x9f\x87\xba\xf0\x9f\x87\xa6 #Ukraine #RussianArmy #\xd0\xa0\xd0\xbe\xd1\x81\xd1\x81\xd0\xb8\xd1\x8f #Russia #StandWithUkraine #RussianUkrainianWar #\xd0\x9a\xd0\xb8\xd1\x97\xd0\xb2 #Kyiv\n #\xd0\xa1\xd0\xb2\xd0\xbe\xd0\xb8\xd1\x85\xd0\x9d\xd0\xb5\xd0\x91\xd1\x80\xd0\xbe\xd1\x81\xd0\xb0\xd0\xb5\xd0\xbc #\xd0\xbf\xd0\xbe\xd1\x82\xd0\xb5\xd1\x80\xd1\x8c\xd0\xbd\xd0\xb5\xd1\x82 #\xd0\xbc\xd1\x8b\xd0\xb5\xd0\xb4\xd0\xb8\xd0\xbd\xd1\x8b #Z #\xd0\xa0\xd0\xa4 https://t.co/lqxeEZrhSm',1,1,https://t.co/lqxeEZrhSm
"b'Canada announced more sanctions against Russia, targeting 62 individuals &amp; entities, incl. members of the Russian elite &amp; major Russian banks, &amp; canceling all export permits, after Moscow launched an all-out invasion of Ukraine https://t.co/TKv4thxyDo \nhttps://t.co/OB4FgZeKw8'",1,0,https://t.co/TKv4thxyDo \nhttps://t.co/OB4FgZeKw8
b'@cdntradegrljenn It is sad. The strategy Russia is using in this war is not to preserve anything of Ukraine. It is to destroy who they are. They have hit a ton of religious sites as well. It it truly terrible.',1,1,#VALUE!
b'@Satoshyi @mfa_russia @RusEmbUSA @RussianEmbassy @RusEmbIndia @EmbassyofRussia @mission_russian @RusBotschaft @rusembassynl @Dpol_un @Amb_Ulyanov @A__Alimov This is how Ukraine treats nazi collaborators.\n\nWho are the nazis again? https://t.co/WS9MJROo06',0,1,https://t.co/WS9MJROo06
b'Zelensky does not confirm Ukraine launched an attack on an oil depot in Russia / The New Voice of Ukraine https://t.co/qz54ubacyq #Ukraine #UkraineRussia #UkraineUnderAtta\xd1\x81k #UkraineWar',0,0,https://t.co/qz54ubacyq #Ukraine #UkraineRussia #UkraineUnderAtta\xd1\x81k #UkraineWar
"b'@GhostManchu \xe2\x80\x9cWestern Civilization\xe2\x80\x9d does not exist. It is just a Nazi-Americoid psyop to unfairly sever the three easternmost European countries (Ukraine, Belarus, and Russia) from the rest of the European world.'",1,0,#VALUE!
"b'@RussianEmbassy @mfa_russia @RusembUkraine @RusEmbUSA @RusMission_EU @BBCWorld @SkyNews @ftworldnews @guardianworld @TelegraphWorld @spectator The west, north and south have no obligations to Russia. What don\xe2\x80\x99t you seem to understand?? You\xe2\x80\x99ve alienated yourself from the world by slaughtering the innocent people of Ukraine and decimating their country. We owe Russia Jack shit!! \xf0\x9f\x96\x95\xf0\x9f\x8f\xbd'",0,1,#VALUE!
